datetime,PlotPoints,Message,Latitude,Longitude
6/20/2017 13:31,0-2573760,UNLIMITED-TRACK,32.58007,-117.34131
6/20/2017 13:30,0-2573891,UNLIMITED-TRACK,32.59178,-117.34254
6/20/2017 13:30,0-2574334,UNLIMITED-TRACK,32.56864,-117.334
6/20/2017 13:29,0-2572498,UNLIMITED-TRACK,32.59124,-117.34392
6/20/2017 13:26,0-2573760,UNLIMITED-TRACK,32.58036,-117.34143
6/20/2017 13:25,0-2573891,UNLIMITED-TRACK,32.59195,-117.34285
6/20/2017 13:25,0-2574334,UNLIMITED-TRACK,32.56912,-117.33444
6/20/2017 13:24,0-2572498,UNLIMITED-TRACK,32.59143,-117.34412
6/20/2017 13:21,0-2573760,UNLIMITED-TRACK,32.5807,-117.34155
6/20/2017 13:20,0-2573891,UNLIMITED-TRACK,32.59211,-117.34314
6/20/2017 13:20,0-2574334,UNLIMITED-TRACK,32.56957,-117.33478
6/20/2017 13:19,0-2572498,UNLIMITED-TRACK,32.5916,-117.34435
6/20/2017 13:16,0-2573760,UNLIMITED-TRACK,32.58103,-117.34171
6/20/2017 13:15,0-2573891,UNLIMITED-TRACK,32.59229,-117.34338
6/20/2017 13:15,0-2574334,UNLIMITED-TRACK,32.57004,-117.33514
6/20/2017 13:14,0-2572498,UNLIMITED-TRACK,32.59177,-117.34459
6/20/2017 13:11,0-2573760,UNLIMITED-TRACK,32.58134,-117.34184
6/20/2017 13:10,0-2573891,UNLIMITED-TRACK,32.59246,-117.34364
6/20/2017 13:10,0-2574334,UNLIMITED-TRACK,32.57051,-117.33556
6/20/2017 13:09,0-2572498,UNLIMITED-TRACK,32.59195,-117.34477
6/20/2017 13:06,0-2573760,UNLIMITED-TRACK,32.58167,-117.34201
6/20/2017 13:05,0-2573891,UNLIMITED-TRACK,32.59261,-117.34393
6/20/2017 13:05,0-2574334,UNLIMITED-TRACK,32.57099,-117.33592
6/20/2017 13:04,0-2572498,UNLIMITED-TRACK,32.59212,-117.34503
6/20/2017 13:01,0-2573760,UNLIMITED-TRACK,32.58199,-117.34216
6/20/2017 13:00,0-2573891,UNLIMITED-TRACK,32.59277,-117.34419
6/20/2017 13:00,0-2574334,UNLIMITED-TRACK,32.57148,-117.33627
6/20/2017 12:59,0-2572498,UNLIMITED-TRACK,32.59226,-117.34535
